id,title,author,category,vendor_id,filename,summary,pixi,pre,pre2,pre3,veer,touchpad,touchpad_exclusive,luneos,adult,app_icon,app_icon_big
1000721,"- !!!33% ERMÄßIGUNG!!!","Sven Ziegler",Productivity,166518,com.sven-ziegler.meorg_2.1.2.ipk,"Unter anderem Neu in 2.0:
- Einige Fehlerkorrekturen

Kennen Sie die Momente in denen Sie sich wünschen ihre persönlichen Notizen und Gedankenstützen sofort parat zu haben, jederzeit wo sie auch sind? Mit OrganizeMe! bieten wir Ihnen eine Möglichkeit alles was Ihnen wichtig ist in einer unkomplizierten App übersichtlich sortiert und schnell abrufbar auf Ihrem webOS-Gerät verfügbar zu haben!

OrganizeMe! stellt Ihnen eine Oberfläche zur Verfügung mit der Sie mühelos Notizen, Lesezeichen für ihren Browser, ToDo-Listen, Rezepte, Einkaufslisten und weiteres Wissenswertes organisieren können.

OrganizeMe! ist somit im Alltag, Beruf und Studium der ideale Begleiter! Stöbern Sie jederzeit und überall in Ihren Lieblings-Rezepten und fügen Sie",Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,1000721/icon/S/icon_1_0_0.png,1000721/icon/icon_1_0_0.png
609,".44 Magnum","CTL Advance CSAT",Entertainment,n22,com.ctladvance.magnumfree_0.9.981_all.ipk,".44 Magnum for WebOS is a button that plays the sound of a .44 Magnum. This app is 100% Ad Supported. Do you feel lucky?",Yes,Yes,Yes,Yes,Yes,No,No,No,No,609/icon/S/icon.png,609/icon/icon.png
7458,'Ncognito,Code-Crunch.com,Productivity,8017,com.codecrunch.app.ncognito_1.3.5_all.ipk,"If you enjoy the app, please leave a review, thanks.

Available in: English, Spanish, French, German, & Italian.

New in this Version (TouchPad Only) :

* Frequently asked questions have been up",No,No,No,No,No,Yes,Yes,No,No,7458/icon/S/icon_1_3_4.png,7458/icon/icon_1_3_4.png
10046,/.,"Calab Inc",News,35144,com.calab.slashdot_0.0.2_all.ipk,"Design for slashdot addicts with ease of comment viewing",Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,10046/icon/S/icon_0_0_2.png,10046/icon/icon_0_0_2.png
10885,"&#x1870; HD","Mobile Dreams Factory",Reference,n203,com.mobiledreams.onceochosetenta_1.0.4_all.ipk,"11870 way to save and share reviews, pictures and video of your favorite places and services and have them all close-at-hand.",No,No,No,No,No,Yes,Yes,No,No,10885/icon/S/icon_1_0_4.png,10885/icon/icon_1_0_4.png
7412,"#1 Party Drinks","Mobifusion Inc.",Lifestyle,103926,com.mobifusion.mobirdr.partydrinks_1.0.0_all.ipk,"Party Drinks has it all! You can now impress your guests with exotic drinks that look and taste great! Get great value for your money with easy-to-follow recipes for 1900+ drinks from across the world",Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,7412/icon/S/icon_1_0_0.png,7412/icon/icon_1_0_0.png
7437,"#1 Soup & Chili Recipes","Mobifusion Inc.",Lifestyle,103926,com.mobifusion.mobirdr.soupchilirecipes_1.0.0_all.ipk,"Nutritious and satisfying, especially during the cold winter months, 500 Soup & Chili Recipes for mobile will warm your body and your soul! The delicious assortment of recipes feature meat, chicken, f",Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,7437/icon/S/icon_1_0_0.png,7437/icon/icon_1_0_0.png
7576,"#Beer List","Holland Numerics Ltd",Lifestyle,116910,com.hollandnumerics.beerlist_1.6.0_all.ipk,"Do you ever want to know a little more about a beer before you order it from a bar? Maybe you would like to tell the world how good, or bad, the beer you just finished was? #Beer List is a front-end t",Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,7576/icon/S/icon_1_6_0.png,7576/icon/icon_1_6_0.png
10141,"#Beer List (for TouchPad)","Holland Numerics Ltd",Lifestyle,116910,com.hollandnumerics.beerlist3_2.0.0_all.ipk,"Do you ever want to know a little more about a beer before you order it from a bar? Maybe you would like to tell the world how good, or bad, the beer you just finished was? #Beer List (for TouchPad) i",No,No,No,No,No,Yes,Yes,No,No,10141/icon/S/icon_1_8_0.png,10141/icon/icon_1_8_0.png
2086,"1-Touch-Dial * The phone app replacement",hausteinapps.com,Productivity,55215,com.haui.touchdial_1.3.1_all.ipk,"* Palm Hot-Apps-Winner *

Your frequent contacts at your fingertips! Set up one-touch-buttons for calling, texting & emailing. You can change between 6 different layouts and style the app with your fa",Yes,Yes,Yes,No,Yes,No,No,No,No,2086/icon/S/icon48x48.png,2086/icon/icon_1_3_1.png
4827,"1. Bundesliga Live",Minderleister,Sports,110292,com.minderleister.bundesligalive_0.0.6_all.ipk,"Update Oct 13, 2010: We implemented some improvements of the user interface for Pixi users and the category photos was removed.
****************************************************
1. BUNDESLIGA LIVE",Yes,Yes,No,No,Yes,Yes,No,No,No,4827/icon/S/icon_0_0_6.png,4827/icon/icon_0_0_6.png
10028,"1. Bundesliga Live&#x2011;",Minderleister,Sports,110292,com.minderleister.bundesligalive11_1.0.1_all.ipk,"1. BUNDESLIGA LIVE bringt dir alle Infos über die 1. Liga auf dein Handy. Folgendes ist enthalten: 
*** Live ticker für jedes Spiel oder als Konferenz (Tore, Karten & Elfmeter) 
*** Spielplan für die Saison mit Spielzeiten in deiner lokalen Zeitzone 
*** aktuelle Tabelle (mit Live-Updates während der Spieltage)
*** Tabellenverlauf während der Saison 
*** historische Ligaergebnisse zurück bis in die Zeit als dein Opa eine Dauerkarte hatte 
*** ewige Tabelle 
*** Torjägerstatistik
*** Infos zu allen Stadien
*** Spielzeiten in den Kalender exportieren 

***Update: Diese App funktioniert auf dem Pre3, ist aber nicht für diese Screengröße optimiert. ***

ÜBER UNS: Wir waren die",Yes,Yes,Yes,Yes,Yes,No,No,No,No,10028/icon/S/icon_1_0_1.png,10028/icon/icon_1_0_1.png
7627,"1# TV Programs Live Guide","Infinite Appz",Lifestyle,119484,com.infiniteappz.tvguide_1.2.0_all.ipk,"•	After the released the successful fitness appz like Pushups, Sqauts, and now we come up with an entertainment app is “IA TV Guide”.
•	Are you felling “I am missing the TV programs” or “I don’t know",Yes,Yes,No,No,Yes,Yes,No,No,No,7627/icon/S/icon_1_2_0.png,7627/icon/icon_1_2_0.png
